Project,Shape,Property Name,Property label,URI
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Unanticipated,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMPUqNEe-lXMAnwStbdQ#_cXmMQkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Initial POOH',,https://clm.celeris.se/rm/types/AD_cc0D1EqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,--,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWB0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWB0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Frequent,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWAkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWAkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Negligible,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Occasional,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Probable,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWA0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWA0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Remote,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXvWAUqNEe-lXMAnwStbdQ#_cXvWBUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Initial Risk',,https://clm.celeris.se/rm/types/AD_cc0DvUqNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,--,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJ0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJ0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Acceptable,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMIkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMIkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,ALARP,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Broadly Acceptable',https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Marginally Acceptable',https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMJEqNEe-lXMAnwStbdQ
